2021-05-22,22 de mayo,sábado,19:02,Sin animo,"",""
2021-05-20,20 de mayo,jueves,19:02,como siempre,"",""
2021-05-19,19 de mayo,miércoles,19:00,mal,"",""
2021-05-18,18 de mayo,martes,19:41,como siempre,"",""
2021-05-17,17 de mayo,lunes,20:16,como siempre,"",""
2021-05-16,16 de mayo,domingo,21:21,como siempre,"",""
2021-05-15,15 de mayo,sábado,19:00,Sin animo,"",""
2021-05-14,14 de mayo,viernes,19:01,como siempre,"",""
2021-05-13,13 de mayo,jueves,21:24,Sin animo,"",""
2021-05-12,12 de mayo,miércoles,23:26,ansioso,"",""
2021-05-11,11 de mayo,martes,19:03,Sin animo,"",""
2021-05-10,10 de mayo,lunes,19:55,Sin animo,"",""
2021-05-08,8 de mayo,sábado,19:01,Sin animo,"",""
2021-05-06,6 de mayo,jueves,19:05,como siempre,"",""
2021-05-05,5 de mayo,miércoles,19:00,Sin animo,"",""
2021-05-04,4 de mayo,martes,19:01,como siempre,"",""
2021-05-02,2 de mayo,domingo,19:01,ansioso,"",""
2021-05-02,2 de mayo,domingo,14:54,ansioso,"",""
2021-04-30,30 de abril,viernes,19:01,como siempre,"",""
2021-04-29,29 de abril,jueves,22:40,como siempre,"",""
2021-04-28,28 de abril,miércoles,19:04,Sin animo,"",""
2021-04-28,28 de abril,miércoles,16:04,Sin animo,"",""
2021-04-25,25 de abril,domingo,19:11,Sin animo,"",""
2021-04-22,22 de abril,jueves,22:25,Sin animo,"",""
2021-04-21,21 de abril,miércoles,19:51,como siempre,"",""
2021-04-20,20 de abril,martes,19:15,como siempre,"",""
2021-04-19,19 de abril,lunes,19:58,Sin animo,"",""
2021-04-18,18 de abril,domingo,17:47,ansioso,"",""
2021-04-15,15 de abril,jueves,22:21,como siempre,"",""
2021-04-14,14 de abril,miércoles,20:51,Sin animo,"",""
2021-04-14,14 de abril,miércoles,7:03,mal,"",""
2021-04-10,10 de abril,sábado,19:47,mal,"",""
2021-04-09,9 de abril,viernes,19:03,como siempre,"",""
2021-04-08,8 de abril,jueves,19:30,como siempre,"",""
2021-04-05,5 de abril,lunes,19:50,como siempre,"",""
2021-04-04,4 de abril,domingo,19:02,Sin animo,"",""
2021-04-03,3 de abril,sábado,19:00,como siempre,"",""
2021-04-03,3 de abril,sábado,8:29,ansioso,"",""
2021-04-02,2 de abril,viernes,20:45,Sin animo,"",""
2021-04-02,2 de abril,viernes,12:20,ansioso,"",""
2021-04-01,1 de abril,jueves,18:14,Pos bien,"",""
2021-03-31,31 de marzo,miércoles,19:01,Sin animo,"",""
2021-03-30,30 de marzo,martes,19:03,como siempre,"",""
2021-03-29,29 de marzo,lunes,19:02,Sin animo,"",""
2021-03-28,28 de marzo,domingo,19:15,como siempre,"",""
2021-03-25,25 de marzo,jueves,20:44,Sin animo,"",""
2021-03-24,24 de marzo,miércoles,9:57,mal,"",""
2021-03-23,23 de marzo,martes,19:02,Sin animo,"",""
2021-03-21,21 de marzo,domingo,19:09,Sin animo,"",""
2021-03-20,20 de marzo,sábado,20:53,como siempre,"",""
2021-03-17,17 de marzo,miércoles,19:00,como siempre,"",""
2021-03-16,16 de marzo,martes,19:03,como siempre,"",""
2021-03-15,15 de marzo,lunes,19:00,como siempre,"",""
2021-03-13,13 de marzo,sábado,19:00,Sin animo,"",""
2021-03-13,13 de marzo,sábado,12:15,mal,"",""
2021-03-11,11 de marzo,jueves,20:02,como siempre,"",""
2021-03-09,9 de marzo,martes,19:04,como siempre,"",""
2021-03-08,8 de marzo,lunes,19:01,como siempre,"",""
2021-03-05,5 de marzo,viernes,19:04,una mierda,"",""
2021-03-03,3 de marzo,miércoles,20:00,Sin animo,"",""
2021-03-02,2 de marzo,martes,19:51,Sin animo,"",""
2021-03-02,2 de marzo,martes,9:37,ansioso,"",""
2021-03-01,1 de marzo,lunes,19:02,como siempre,"",""
2021-03-01,1 de marzo,lunes,10:44,mal,"",""
2021-02-28,28 de febrero,domingo,19:01,como siempre,"",""
2021-02-27,27 de febrero,sábado,19:04,como siempre,"",""
2021-02-26,26 de febrero,viernes,19:00,como siempre,"",""
2021-02-25,25 de febrero,jueves,20:36,ansioso,"",""
2021-02-25,25 de febrero,jueves,19:03,como siempre,"",""
2021-02-24,24 de febrero,miércoles,19:33,Sin animo,"",""
2021-02-22,22 de febrero,lunes,20:00,como siempre,"",""
2021-02-21,21 de febrero,domingo,20:43,ansioso,"",""
